H,L,Lf,V,MV
8.5,9,17,1155.4,304.7829025
8.5,11,5,554,125.4734193
8.5,11,7,792,251.1280277
8.5,11,9,1021,416.2365524
8.5,11,11,1243.1,619.399308
8.5,11,13,1356.3,743.3838062
8.5,11,15,1337.3,488.6466436
8.5,11,17,1289.3,415.6831264
8.5,13,5,500,95.82113388
8.5,13,7,713,191.2973117
8.5,13,9,922,318.0495076
8.5,13,11,1126.9,475.1156774
8.5,13,13,1326.9,661.1543253
8.5,13,15,1422.4,779.6130104
8.5,13,17,1403.3,534.6992876
8.5,15,5,455,75.57093426
8.5,15,7,650,151.1418685
8.5,15,9,840,251.1280277
8.5,15,11,1027.9,375.592526
8.5,15,13,1214.6,524.5054671
8.5,15,15,1396.4,695.784083
8.5,15,17,1479.3,810.7997232
8.5,17,5,419,61.40443721
8.5,17,7,598,122.6916344
8.5,17,9,772,203.6458376
8.5,17,11,945.3,304.7741095
8.5,17,13,1117.6,425.8390393
8.5,17,15,1288.7,566.576837
8.5,17,17,1455.4,725.1820069
9.5,5,5,854,340.6537396
9.5,5,7,1179,517.3229917
9.5,5,9,1162,257.5069252
9.5,5,11,1120,203.072274
9.5,5,13,1070.8,164.2821223
9.5,5,15,1020.8,135.7296399
9.5,5,17,972.1,114.0479061
9.5,7,5,734,209.1333597
9.5,7,7,1064,424.4210526
9.5,7,9,1282,562.5174515
9.5,7,11,1273,323.138756
9.5,7,13,1229.7,264.1247816
9.5,7,15,1177.2,219.1352909
9.5,7,17,1122.6,184.3866384
9.5,9,5,645,142.9362881
9.5,9,7,940,291.634349
9.5,9,9,1209,482.2603878
9.5,9,11,1379,605.0792244
9.5,9,13,1369.8,378.2784573
9.5,9,15,1326.3,317.4302493
9.5,9,17,1271.8,268.5763076
9.5,11,5,576,104.4371695
9.5,11,7,840,213.2258877
9.5,11,9,1087,354.7600101
9.5,11,11,1325.3,528.6515235
9.5,11,13,1463.8,642.287867
9.5,11,15,1453.4,425.1496953
9.5,11,17,1409.9,363.9044484
9.5,13,5,521,79.93181334
9.5,13,7,760,163.2388664
9.5,13,9,985,272.0136373
9.5,13,11,1205.1,406.7501385
9.5,13,13,1419.5,566.2271468
9.5,13,15,1537.2,674.4944044
9.5,13,17,1526.1,465.5139645
9.5,15,5,476,63.29085873
9.5,15,7,694,129.1878116
9.5,15,9,900,215.401662
9.5,15,11,1102.5,322.5041551
9.5,15,13,1303.7,450.6973961
9.5,15,15,1499,597.9390582
9.5,15,17,1601.1,702.5325208
9.5,17,5,439,51.50399218
9.5,17,7,640,105.1197654
9.5,17,9,829,175.0666449
9.5,17,11,1016.6,262.3911357
9.5,17,13,1202.7,366.8656347
9.5,17,15,1387.1,488.208571
9.5,17,17,1566.8,624.9839335
10.5,5,7,1247,447.9020408
10.5,5,9,1260,228.5714286
10.5,5,11,1219,180.9276438
10.5,5,13,1172.5,147.2527473
10.5,5,15,1124.1,122.3510204
10.5,5,17,1075.8,103.3181273
10.5,7,7,1109,362.122449
10.5,7,9,1372,492.8
10.5,7,11,1372,285.0909091
10.5,7,13,1333.8,234.5142857
10.5,7,15,1284.2,195.687619
10.5,7,17,1231.1,165.5260504
10.5,9,7,984,249.9047619
10.5,9,9,1271,415.0204082
10.5,9,11,1474.5,529.6163265
10.5,9,13,1474.5,333.3249608
10.5,9,15,1436,281.3387755
10.5,9,17,1384.4,239.320048
10.5,11,7,883,183.4805195
10.5,11,9,1146,306.1669759
10.5,11,11,1399.5,456.9795918
10.5,11,13,1565.5,562.3020408
10.5,11,15,1564.3,374.5806803
10.5,11,17,1525.7,322.3567827
10.5,13,7,802,141.010989
10.5,13,9,1042,235.5541601
10.5,13,11,1277.6,352.9946625
10.5,13,13,1505.1,491.4612245
10.5,13,15,1646,591.2163265
10.5,13,17,1643.3,410.3318127
10.5,15,7,735,112
10.5,15,9,955,187.1020408
10.5,15,11,1172.3,280.7140136
10.5,15,13,1386.3,392.3134694
10.5,15,15,1594.3,520.5877551
10.5,15,17,1716.6,616.5746939
10.5,17,7,678,91.15966387
10.5,17,9,882,152.4705882
10.5,17,11,1082.9,228.8
10.5,17,13,1282,320.1152461
10.5,17,15,1479.1,426.1512605
10.5,17,17,1670.7,545.5346939
11.5,5,7,1291,386.5678639
11.5,5,9,1359,205.5198488
